"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=g084&geo=fvvvvvvvvvvvo&sec=g&freq=A&start=2001&end=2024&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Net generation for all sectors","thousand megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"New England",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"New England : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NEW-99.A",116591,124340,130148,133518,136149,132211,132526,127094,121666,129728,123338,120887,115436,110896,110235,107725,105234,105548,99997,96809,103089,105612,102611,109310
"New England : other renewables",,"ELEC.GEN.AOR-NEW-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"New England : wind","thousand megawatthours","ELEC.GEN.WND-NEW-99.A",12,10,11,11,11,11,110,156,379,614,870,1294,1880,2055,2269,2646,3444,3556,3734,3769,3780,4046,3450,3604
"New England : all solar","thousand megawatthours","ELEC.GEN.TSN-NEW-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",1175,1702,2467,3164,4204,4767,5803,6769,9138,10294,11789
"Connecticut",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Connecticut : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-CT-99.A",30491,31311,29545,32633,33550,34682,33171,30409,31206,33350,33745,36118,35611,33677,37471,36497,34563,39454,40050,41191,44080,43054,40666,44761
"Connecticut : other renewables",,"ELEC.GEN.AOR-CT-99.A",,,,,,,,,,,,,,,,,,,,,,,,
