"state","code","fips","pop2020","pop2024","pop2025","population","growthRate","growthRate2020","densityMi","rank","percent"
"California","CA","6",39522000,39431300,39663800,39663800,0.0059,0.00072,254.61583,1,0.11573957454782763
"Texas","TX","48",29239600,31290800,31853800,31853800,0.01799,0.01788,121.93682,2,0.09294987519429787
"Florida","FL","12",21592000,23372200,23839600,23839600,0.02,0.02082,444.56131,3,0.06956431712015469
"New York","NY","36",20105200,19867200,19997100,19997100,0.00654,-0.00108,424.33264,4,0.058351843398523694
"Pennsylvania","PA","42",12996100,13078800,13139800,13139800,0.00466,0.00221,293.67275,5,0.0383421372042907
"Illinois","IL","17",12799100,12710200,12778100,12778100,0.00534,-0.00033,230.15724,6,0.0372866910767399
"Ohio","OH","39",11798900,11883300,11942600,11942600,0.00499,0.00244,292.27381,7,0.034848689308510185
"Georgia","GA","13",10732900,11180900,11297300,11297300,0.01041,0.01052,196.43037,8,0.03296569404694389
"North Carolina","NC","37",10449700,11046000,11210900,11210900,0.01493,0.01457,230.59155,9,0.03271357752656681
"Michigan","MI","26",10072700,10140500,10197600,10197600,0.00563,0.00248,180.364,10,0.02975675264117223
"New Jersey","NJ","34",9272790,9500850,9622060,9622060,0.01276,0.00753,1308.41175,11,0.02807731812568817
"Virginia","VA","51",8637620,8811200,8887700,8887700,0.00868,0.00579,225.06204,12,0.0259344444230943
"Washington","WA","53",7727210,7958180,8059040,8059040,0.01267,0.00859,121.26881,13,0.02351640187939443
"Arizona","AZ","4",7187140,7582380,7691740,7691740,0.01442,0.01404,67.71256,14,0.02244461486626364
"Tennessee","TN","47",6927900,7227750,7307200,7307200,0.01099,0.01095,177.20868,15,0.02132252126966872
"Massachusetts","MA","25",6994600,7136170,7205770,7205770,0.00975,0.00604,923.81667,16,0.021026546979601046
"Indiana","IN","18",6790500,6924280,6968420,6968420,0.00637,0.00524,194.50734,17,0.020333956052384618
"Maryland","MD","24",6177940,6263220,6309380,6309380,0.00737,0.00426,649.98249,18,0.018410867260841693
"Missouri","MO","29",6154740,6245470,6282890,6282890,0.00599,0.00416,91.39813,19,0.01833356903601775
"Colorado","CO","8",5787130,5957490,6013650,6013650,0.00943,0.00783,58.02329,20,0.01754792260145381
"Wisconsin","WI","55",5897380,5960980,5991540,5991540,0.00513,0.00319,110.63075,21,0.01748340528356565
"Minnesota","MN","27",5710740,5793150,5833250,5833250,0.00692,0.00429,73.25719,22,0.017021512644555377
"South Carolina","SC","45",5132250,5478830,5569830,5569830,0.01661,0.01705,185.28426,23,0.016252849058933507
"Alabama","AL","1",5033090,5157700,5197720,5197720,0.00776,0.00654,102.63047,24,0.015167026392295611
"Kentucky","KY","21",4508320,4588370,4626150,4626150,0.00823,0.00523,117.15925,25,0.013499176397481653
"Louisiana","LA","22",4652300,4597740,4607410,4607410,0.0021,-0.00193,106.64313,26,0.01344449279109431
"Oregon","OR","41",4243780,4272370,4291090,4291090,0.00438,0.00223,44.70444,27,0.012521466197047124
"Oklahoma","OK","40",3965420,4095390,4126900,4126900,0.00769,0.00814,60.16328,28,0.012042357267872212
"Connecticut","CT","9",3579920,3675070,3707120,3707120,0.00872,0.00711,765.61751,29,0.010817432812734604
"Utah","UT","49",3284080,3503610,3564000,3564000,0.01724,0.01705,43.37349,30,0.010399806465554428
"Nevada","NV","32",3116970,3267470,3320570,3320570,0.01625,0.01306,30.24722,31,0.009689474005422577
"Iowa","IA","19",3191140,3241490,3264560,3264560,0.00712,0.0046,58.44496,32,0.009526035969469798
"Arkansas","AR","5",3014550,3088350,3107240,3107240,0.00612,0.00615,59.71442,33,0.009066973805283204
"Kansas","KS","20",2938170,2970610,2989710,2989710,0.00643,0.00351,36.56735,34,0.008724019469173044
"Mississippi","MS","28",2958540,2943040,2942920,2942920,-0.00004,-0.00106,62.71807,35,0.008587485534121616
"New Mexico","NM","35",2118610,2130260,2139350,2139350,0.00427,0.00196,17.63714,36,0.006242655993850692
"Idaho","ID","16",1849420,2001620,2032120,2032120,0.01524,0.01976,24.58914,37,0.005929757215146594
"Nebraska","NE","31",1963390,2005460,2023070,2023070,0.00878,0.00608,26.33383,38,0.005903349176843208
"West Virginia","WV","54",1791650,1769980,1769460,1769460,-0.00029,-0.00248,73.61095,39,0.005163311321139152
"Hawaii","HI","15",1451250,1446150,1450900,1450900,0.00328,-0.00005,225.89133,40,0.004233748372859966
"New Hampshire","NH","33",1378760,1409030,1415860,1415860,0.00485,0.00538,158.14364,41,0.004131501117373707
"Maine","ME","23",1364570,1405010,1410380,1410380,0.00382,0.00671,45.72772,42,0.004115510393627568
"Montana","MT","30",1087230,1137230,1143160,1143160,0.00521,0.01029,7.85429,43,0.0033357583499335577
"Rhode Island","RI","44",1096530,1112310,1121190,1121190,0.00798,0.0045,1084.32302,44,0.0032716495541848956
"Delaware","DE","10",991928,1051920,1067410,1067410,0.01473,0.01522,547.6706,45,0.0031147186923112936
"South Dakota","SD","46",887948,924669,931033,931033,0.00688,0.0097,12.28098,46,0.002716768522178601
"North Dakota","ND","38",779563,796568,804089,804089,0.00944,0.00629,11.65329,47,0.0023463439902023553
"Alaska","AK","2",733017,740133,743756,743756,0.0049,0.00293,1.30337,48,0.002170291374184876
"Vermont","VT","50",642977,648493,648278,648278,-0.00033,0.00165,70.33503,49,0.0018916851110765132
"Wyoming","WY","56",577681,587618,590169,590169,0.00434,0.00432,6.07839,50,0.0017221221610465181
